"===="
"-|-"
"--","20-01"
"levelFinished","true"
"levelCleared","true"
"WOODEN_CAGE0","true"
"clearedCageCountPerLevel","2"
"levelVisited","true"
"-|-"
"--","templates"
"levelVisited","true"
"-|-"
"--","22-03"
"WOODEN_CAGE1","true"
"WOODEN_CAGE2","true"
"levelFinished","true"
"levelCleared","true"
"clearedCageCountPerLevel","2"
"levelVisited","true"
"-|-"
"--","24-05"
"WOODEN_CAGE1","true"
"levelFinished","true"
"levelCleared","true"
"clearedCageCountPerLevel","1"
"levelVisited","true"
"-|-"
"--","22-04"
"WOODEN_CAGE2","true"
"levelFinished","true"
"levelCleared","true"
"clearedCageCountPerLevel","1"
"levelVisited","true"
"-|-"
"--","24-06"
"WOODEN_CAGE1","true"
"WOODEN_CAGE2","true"
"levelFinished","true"
"levelCleared","true"
"clearedCageCountPerLevel","2"
"levelVisited","true"
"-|-"
"--","22-05"
"WOODEN_CAGE2","true"
"WOODEN_CAGE3","true"
"levelFinished","true"
"levelCleared","true"
"clearedCageCountPerLevel","2"
"levelVisited","true"
"-|-"
"--","24-07"
"WOODEN_CAGE1","true"
"WOODEN_CAGE2","true"
"levelFinished","true"
"levelCleared","true"
"clearedCageCountPerLevel","2"
"levelVisited","true"
"-|-"
"--","22-06"
"WOODEN_CAGE1","true"
"WOODEN_CAGE2","true"
"levelFinished","true"
"levelCleared","true"
"clearedCageCountPerLevel","2"
"levelVisited","true"
"-|-"
"--","24-08"
"WOODEN_CAGE1","true"
"WOODEN_CAGE2","true"
"levelFinished","true"
"levelCleared","true"
"clearedCageCountPerLevel","2"
"levelVisited","true"
"-|-"
"--","22-07"
"WOODEN_CAGE1","true"
"levelFinished","true"
"levelCleared","true"
"clearedCageCountPerLevel","1"
"levelVisited","true"
"-|-"
"--","24-09"
"WOODEN_CAGE1","true"
"levelFinished","true"
"levelCleared","true"
"clearedCageCountPerLevel","1"
"levelVisited","true"
"-|-"
"--","22-08"
"levelFinished","true"
"levelCleared","true"
"levelVisited","true"
"-|-"
"--","test2"
"levelVisited","true"
"-|-"
"--","24-01"
"levelFinished","true"
"levelCleared","true"
"levelVisited","true"
"-|-"
"--","24-02"
"WOODEN_CAGE1","true"
"WOODEN_CAGE2","true"
"levelFinished","true"
"levelCleared","true"
"clearedCageCountPerLevel","2"
"levelVisited","true"
"-|-"
"--","22-01"
"levelFinished","true"
"levelCleared","true"
"levelVisited","true"
"-|-"
"--","24-03"
"WOODEN_CAGE1","true"
"WOODEN_CAGE2","true"
"levelFinished","true"
"levelCleared","true"
"clearedCageCountPerLevel","2"
"levelVisited","true"
"-|-"
"--","24-04"
"WOODEN_CAGE1","true"
"WOODEN_CAGE2","true"
"WOODEN_CAGE3","true"
"levelFinished","true"
"levelCleared","true"
"clearedCageCountPerLevel","3"
"levelVisited","true"
"-|-"
"--","22-02"
"WOODEN_CAGE1","true"
"levelFinished","true"
"clearedCageCountPerLevel","1"
"levelCleared","true"
"levelVisited","true"
"-|-"
"==|=="
"===="
"--","22"
"worldFinished","true"
"clearedCageCountPerWorld","9"
"-|-"
"--","23"
"worldFinished","true"
"clearedCageCountPerWorld","13"
"-|-"
"--","24"
"worldFinished","true"
"clearedCageCountPerWorld","15"
"-|-"
"--","25"
"worldFinished","true"
"clearedCageCountPerWorld","1"
"-|-"
"--","20"
"worldFinished","false"
"clearedCageCountPerWorld","5"
"-|-"
"--","21"
"worldFinished","true"
"clearedCageCountPerWorld","7"
"-|-"
"==|=="
